书名,作者,出版社,出版时间,评分,评分人数,图书链接
试刊号,[意] 翁贝托·埃科,上海译文出版社,2025-3,未评分,4人评价,https://book.douban.com/subject/36864830/
央地之间：转移支付的政治及其他,王瑞民,上海远东出版社,2025-2,未评分,3人评价,https://book.douban.com/subject/37275220/
论美国：美国外交及外交政策史,[美] 罗伯特·佐利克,中信出版社,2025-3-10,未评分,5人评价,https://book.douban.com/subject/37183990/
我们工作的理由、不工作的理由、不能工作的理由,[日] 稻泉连,上海译文出版社,2025-3,7.8,43人评价,https://book.douban.com/subject/37214412/
奇想之年,[美] 琼·狄迪恩,新星出版社,2025-2,8.7,29人评价,https://book.douban.com/subject/37045752/
重访五四新文化：思想与观念,王风,四川人民出版社,2025-3,未评分,0人评价,https://book.douban.com/subject/37093053/
机械复制时代的艺术作品,[德] 瓦尔特·本雅明,浙江大学出版社,2025-3,未评分,9人评价,https://book.douban.com/subject/37195953/
鸟类启示录：一部文化史,[美]博里亚·萨克斯（Boria Sax）,上海教育出版社,2025-3,未评分,5人评价,https://book.douban.com/subject/37230231/
羽蛇与苍宇之心：墨西哥神话,[美] 大卫·柏尔斯,中信出版社,2025-3-20,未评分,1人评价,https://book.douban.com/subject/37221974/
笔的重量,默音,浙江文艺出版社,2025-3,8.6,50人评价,https://book.douban.com/subject/37191754/
卢布：一部政治史：1769—1924,[俄罗斯]叶卡捷琳娜·普拉维洛娃(Ekaterina Pravilova),中国科学技术出版社,2025-3,未评分,9人评价,https://book.douban.com/subject/37157857/
控制论与科学方法论,金观涛,广东人民出版社,2025-3,未评分,7人评价,https://book.douban.com/subject/37235927/
赞美不沉默：随机图书馆02,随机波动,新星出版社,2025-4,未评分,12人评价,https://book.douban.com/subject/37195961/
奴隶船：海上奴隶贸易400年,[日] 布留川正博,浙江人民出版社,2025-3,未评分,3人评价,https://book.douban.com/subject/37258975/
来自东方的珍宝：东印度公司自然、文化探索简史,[英]亚瑟·麦格雷戈(Arthur MacGregor),中国科学技术出版社,2025-3,未评分,13人评价,https://book.douban.com/subject/37094573/
不再踏入流量的河,凡之昂,广西师范大学出版社,2025-2,8.7,50人评价,https://book.douban.com/subject/37109561/
拉康式精神病主体,[比]斯蒂恩·范霍勒,上海三联书店,2025-3,8.9,12人评价,https://book.douban.com/subject/37136803/
苏格拉底的方法,[美] 沃德·法恩斯沃斯,浙江科学技术出版社,2025-3-3,未评分,10人评价,https://book.douban.com/subject/37254213/
女人们的谈话,[加]米莉亚姆·泰维兹,湖南文艺出版社,2025-2,9.1,25人评价,https://book.douban.com/subject/37124493/
超越猿类：人类道德心理进化史,[加] 维克多·库马尔,广西师范大学出版社,2025-3,未评分,5人评价,https://book.douban.com/subject/37138373/
垫底辣妹升学记,(日) 坪田信贵,新星出版社,2025-3,8.7,45人评价,https://book.douban.com/subject/37193544/
亲密与骚扰：情感依赖的深层原因,[法] 厄德·塞梅里亚,上海文艺出版社,2025-2,未评分,3人评价,https://book.douban.com/subject/37039139/
士兵之死：世界阵亡简史,[美]迈克尔·史蒂文森,生活·读书·新知三联书店,2025-3,未评分,2人评价,https://book.douban.com/subject/35268794/
父亲的解放日志,[韩] 郑智我,新星出版社,2025-3,8.6,20人评价,https://book.douban.com/subject/37200304/
其实你也知道一切都没有什么道理,小爆炸,浙江人民出版社,2025-3,9.5,18人评价,https://book.douban.com/subject/37181746/
1688：第一次现代革命,[英] 史蒂夫·平卡斯,广西师范大学出版社,2025-2,9.5,41人评价,https://book.douban.com/subject/36858412/
真爱遗事：中国现代爱情观的形成,[英] 潘翎,广西师范大学出版社,2025-3,8.6,37人评价,https://book.douban.com/subject/37180568/
卡利古拉,[法]加缪,湖南文艺出版社,2025-2-1,9.6,46人评价,https://book.douban.com/subject/37195912/
鸟之云,[美] 安妮·普鲁,人民文学出版社,2025-3,未评分,2人评价,https://book.douban.com/subject/37173890/
叙事话语·新叙事话语,[法]热拉尔·热奈特,北京联合出版公司,2025-3,9.4,18人评价,https://book.douban.com/subject/37205573/
德礼之间：前诸子时期的思想史,郑开,生活·读书·新知三联书店,2025-3,未评分,4人评价,https://book.douban.com/subject/37199945/
建国者的财富：金钱如何塑造了美国的诞生,[美] 威拉德·斯特恩·兰德尔,山西人民出版社,2025-2-28,未评分,6人评价,https://book.douban.com/subject/37017465/
手上有毒的猫,[日] 原田千秋,四川美术出版社,2025-3,8.4,154人评价,https://book.douban.com/subject/37135583/
疯癫罗曼史：关于情感和欲望的11个心理怪谈,[英] 弗兰克·塔利斯,北京联合出版公司,2025-2,未评分,6人评价,https://book.douban.com/subject/36964249/
生女有所归,毛利,湖南文艺出版社,未知,8.7,120人评价,https://book.douban.com/subject/37182255/
洛尔迦升入地狱,[西] 卡洛斯·罗哈斯,江苏凤凰文艺出版社,2025-3,未评分,9人评价,https://book.douban.com/subject/37190717/
世界之中,张笑宇,广西师范大学出版社,2025-3,8.7,44人评价,https://book.douban.com/subject/37215568/
反卷社会,[美] 阿夫拉姆·阿尔珀特（Avram Alpert）,中国科学技术出版社,2025-4,未评分,7人评价,https://book.douban.com/subject/37162570/
她的生活,默音,浙江文艺出版社,2025-3,8.7,44人评价,https://book.douban.com/subject/37098552/
克苏鲁神话Ⅵ,[美] H.P.洛夫克拉夫特,花山文艺出版社,2025-3-1,未评分,9人评价,https://book.douban.com/subject/36698210/
幽灵街区：“流人“系列04,[英] 米克·赫伦,新星出版社,2025-3,9.2,36人评价,https://book.douban.com/subject/37190726/
祖宗之法：北宋前期政治述略（修订二版）,邓小南,生活·读书·新知三联书店,2025-3,未评分,6人评价,https://book.douban.com/subject/37109261/
欲望的先知：与勒内·基拉尔对话,(法) 勒内·基拉尔,南京大学出版社,2025-3-1,8.6,61人评价,https://book.douban.com/subject/36967783/
谋杀手段：用刑侦科学破解致命罪案,[德] 马克·贝内克,生活·读书·新知三联书店,2025-3,未评分,3人评价,https://book.douban.com/subject/37195810/
断头王后：玛丽·安托奈特传,【奥】斯蒂芬·茨威格,广东旅游出版社,2025-3,9.1,25人评价,https://book.douban.com/subject/37172672/
认识现代社会之真相：杨照讲马克斯·韦伯,杨照,云南人民出版社,2025-2,9.0,13人评价,https://book.douban.com/subject/37130698/
藩屏：明代藩王的艺术与权力,[英] 柯律格,上海人民出版社,2025-3,8.8,29人评价,https://book.douban.com/subject/37090528/
自由泳的温柔,[法] 科隆布·施内克,南海出版公司,2025-3,未评分,4人评价,https://book.douban.com/subject/37224236/
什么是思想史,[英]理查德·沃特莫尔（Richard Whatmore）,北京大学出版社,2025-2,7.1,11人评价,https://book.douban.com/subject/37229993/
苏格拉底：反讽家与道德哲学家,[美] 格里高利·弗拉斯托,生活·读书·新知三联书店,2025-4,未评分,5人评价,https://book.douban.com/subject/37229504/
情欲,[奥] 埃尔夫丽德·耶利内克,贵州人民出版社,2025-3,未评分,9人评价,https://book.douban.com/subject/37028106/
重访五四新文化：语言与文学,王风,四川人民出版社,2025-3,未评分,2人评价,https://book.douban.com/subject/37093049/
吸血狗不会叫嚷,[日]市川忧人,新星出版社,2025-2,7.0,94人评价,https://book.douban.com/subject/37136351/
天下之极：世界枢纽观念的古今之变,高波,生活·读书·新知三联书店,2025-2,8.9,15人评价,https://book.douban.com/subject/37013339/
裂城：美国城市的贫穷与繁荣,[美]艾伦•马拉赫,上海社会科学院出版社,2025-2,未评分,7人评价,https://book.douban.com/subject/36226283/
我很可爱，绝对可爱,(日)原田千秋,广西师范大学出版社,2025-3,8.3,58人评价,https://book.douban.com/subject/37101306/
煤气灯效应：识别并摆脱情感操控,[美]罗宾 · 斯特恩,中译出版社,2025-3-25,未评分,23人评价,https://book.douban.com/subject/37238471/
临在与不死：形上日记 第3卷,[法] 加布里埃尔·马赛尔 编,上海人民出版社,2025-2,未评分,1人评价,https://book.douban.com/subject/37225524/
南京味道,余斌,译林出版社,2025-3,8.6,21人评价,https://book.douban.com/subject/36723153/
线索与痕迹：真的、假的、虚构的,[意] 卡洛·金茨堡,上海三联书店,2025-3,8.3,14人评价,https://book.douban.com/subject/36910907/
人工智能时代与人类价值,[美] 亨利·基辛格,中信出版社,2025-2-27,未评分,11人评价,https://book.douban.com/subject/37090709/
你们聊，我听听,[日]岸见一郎,浙江文艺出版社,2025-3-31,未评分,8人评价,https://book.douban.com/subject/37272441/
血缘,[美] 奥克塔维娅·E.巴特勒,中国友谊出版公司,2025-2,8.0,31人评价,https://book.douban.com/subject/36985533/
血孩子,[美] 奥克塔维娅·E.巴特勒,中国友谊出版公司,2025-2,9.1,82人评价,https://book.douban.com/subject/36985532/
墨梅：一种文人画题材的形成,【美】毕嘉珍,江苏人民出版社,2025-3-1,未评分,3人评价,https://book.douban.com/subject/36840453/
小县大城：基层视角下的中国政治与经济互动,周立,中信出版集团,2025-3-13,未评分,9人评价,https://book.douban.com/subject/37215519/
父产科：缺失的男性生殖健康科学,[美]莱妮· 阿尔梅林(Rene Almeling),中国科学技术出版社,2025-3,未评分,9人评价,https://book.douban.com/subject/37183613/
麦田里的守望者：汉英对照,[美国] J.D.塞林格,译林出版社,2025-3-11,8.9,61人评价,https://book.douban.com/subject/36969107/
出仙入凡说封神,陈洪,人民文学出版社,2025-2,7.4,23人评价,https://book.douban.com/subject/37190701/
莎士比亚全集（全十卷）,威廉·莎士比亚,湖南文艺出版社,2025-3,未评分,9人评价,https://book.douban.com/subject/37124494/
悉达多：流浪者之歌,（德）赫尔曼·黑塞,广西师范大学出版社,2025-3,9.5,21人评价,https://book.douban.com/subject/37236917/
余下只有噪音：聆听20世纪,[美] 亚历克斯·罗斯,云南人民出版社,2025-2,未评分,2人评价,https://book.douban.com/subject/37159623/
面具下的她们：ASD女性的自白（第2版）,(英) 萨拉·亨德里克斯,华夏出版社,未知,未评分,8人评价,https://book.douban.com/subject/37144169/
理解性别差距：美国女性经济史,[美] 克劳迪娅·戈尔丁,生活·读书·新知三联书店,2025-3,未评分,5人评价,https://book.douban.com/subject/37068779/
嫉妒,[苏] 尤里·奥列沙,浙江大学出版社,2025-2,未评分,7人评价,https://book.douban.com/subject/37101319/
文明的拐点：瘟疫书写的人类通史,[英] 乔纳森·肯尼迪,文汇出版社,2025-2-28,8.4,43人评价,https://book.douban.com/subject/37119416/
文明的重建：战后德国五十年,[德] 康拉德·H.雅劳施,译林出版社,2025-3,未评分,2人评价,https://book.douban.com/subject/36561854/
洋果子店的午后,[日] 小川洋子,中信出版社,2025-2,9.0,49人评价,https://book.douban.com/subject/37138324/
天才肠道,[英]埃米莉·利明,中信出版集团,2025-3,未评分,5人评价,https://book.douban.com/subject/37172547/
伊莱克特拉,[英] 詹妮弗·赛因特,上海译文出版社,2025-3,未评分,4人评价,https://book.douban.com/subject/37199761/
黑夜的狂欢,[韩]韩江,国际文化出版公司,2025-2,7.7,111人评价,https://book.douban.com/subject/37128992/
五道庙与沙滩：舆论启蒙下的北京：1904—1918,杨早,北京联合出版公司,2025-3,未评分,7人评价,https://book.douban.com/subject/37215518/
微相入：妙手修古书,王岚,北京大学出版社,2025-3,未评分,7人评价,https://book.douban.com/subject/37070974/
数学哲学导论,(英) 斯蒂芬·科尔纳,高等教育出版社,2025-2-28,未评分,1人评价,https://book.douban.com/subject/37199763/
只有一朵玫瑰支撑：希尔德·多敏诗选,[德] 希尔德·多敏,华东师范大学出版社,2025-2-15,9.4,28人评价,https://book.douban.com/subject/37135550/
人性的，女人性的,[法] 卡特琳·莫里斯,生活书店出版有限公司,2025-3,未评分,16人评价,https://book.douban.com/subject/36990996/
启蒙叙事：从伏尔泰到吉本的世界主义史学,[英] 欧布里恩,华夏出版社,2025-3,未评分,3人评价,https://book.douban.com/subject/37019358/
文明的碎片,[英] 西蒙·沙玛,浙江人民出版社,2025-3,未评分,116人评价,https://book.douban.com/subject/36908959/
海边：瓦日迪·穆瓦德剧作集,（加）瓦日迪·穆瓦德,南京大学出版社,2025-3,未评分,7人评价,https://book.douban.com/subject/37244529/
有母亲等待的故乡,[日]浅田次郎,中信出版集团,2025-3,未评分,9人评价,https://book.douban.com/subject/37141972/
奴隶哲学家的人生突围课,[日] 荻野弘之,广西师范大学出版社,2025-3,8.4,12人评价,https://book.douban.com/subject/37152266/
中国的十个名字,郑子宁,海峡书局,2025-3,未评分,13人评价,https://book.douban.com/subject/37241989/
理由至上,[美]马克·施罗德（Mark Schroeder）,上海人民出版社,2025-2,未评分,2人评价,https://book.douban.com/subject/37230294/
沧城,阿措,云南人民出版社,2025-2,9.6,49人评价,https://book.douban.com/subject/37212430/
漪,杜梨,中信出版社,2025-3-6,未评分,38人评价,https://book.douban.com/subject/37070365/
柏林：世界中心之城的生与死,[英] 辛克莱·麦凯,贵州大学出版社,2025-3,未评分,1人评价,https://book.douban.com/subject/37197915/
吉尔莫·德尔·托罗的奇思妙想：我的私人笔记、收藏品和其他爱好,[墨] 吉尔莫·德尔·托罗,金城出版社,2025-3,9.7,21人评价,https://book.douban.com/subject/36284268/
绘画、色彩与光线,[法] 伊夫·博纳富瓦,广西师范大学出版社,2025-2,未评分,4人评价,https://book.douban.com/subject/37173892/
夏与冬的奏鸣曲,[日] 麻耶雄嵩,新星出版社,2025-2,7.7,167人评价,https://book.douban.com/subject/37176838/
大马士革：刀锋下的玫瑰,罗斯•伯恩斯,译林出版社,2025-2,未评分,4人评价,https://book.douban.com/subject/37168067/
中国古典文学讲义,骆玉明,河南人民出版社,2025-3-5,7.4,56人评价,https://book.douban.com/subject/36216165/
数学思维的力量,[美] 沙琳妮·夏尔马,中信出版社,2025-3,未评分,28人评价,https://book.douban.com/subject/37227822/
太阳、地球、生命的起源：改变地球早期生命史的14个大事件,［法］米里埃尔·加尔戈,四川科学技术出版社,2025-3,9.5,12人评价,https://book.douban.com/subject/37229907/
宇宙生命起源,[以] 马里奥·利维奥,中信出版集团,2025-2,未评分,5人评价,https://book.douban.com/subject/37197698/
恶之花 巴黎的忧郁,[法] 夏尔·皮埃尔·波德莱尔,上海译文出版社,2025-2,未评分,2人评价,https://book.douban.com/subject/37156589/
平衡,滕肖澜,上海文艺出版社,2025-3-1,未评分,9人评价,https://book.douban.com/subject/37190715/
舆论,[美] 沃尔特·李普曼,湖南文艺出版社,2025-3,未评分,3人评价,https://book.douban.com/subject/37231890/
唐人变形记,叶行一,广东人民出版社,2025-3-1,8.2,40人评价,https://book.douban.com/subject/37112533/
中国的西北角：勘注增补本,范长江 著,北京出版社,2025-4,未评分,6人评价,https://book.douban.com/subject/37112508/
战时中国的医疗和卫生,皮国立,江苏人民出版社,2025-3-1,未评分,1人评价,https://book.douban.com/subject/36428063/
来吧，更年期！,莉萨·莫斯科尼,中信出版社,2025-2,9.6,35人评价,https://book.douban.com/subject/37139742/
美国人谈工作：他们整天做什么以及他们的感受,（美）斯塔兹·特克尔,商务印书馆,2025-3,未评分,4人评价,https://book.douban.com/subject/36879215/
今天我想要什么：海豹的女性漫画,王XX,江苏凤凰文艺出版社,2025-3,9.1,138人评价,https://book.douban.com/subject/37257148/
物品、权力与历史：拉丁美洲的物质文化,[美] 阿诺德·鲍尔,上海人民出版社,2025-3,未评分,6人评价,https://book.douban.com/subject/37090529/
柠檬与杀人狂,[日] 桑垣爱夕,广东旅游出版社,2025-3,5.9,157人评价,https://book.douban.com/subject/37154951/
主动出击：20世纪早期英国的科学普及,[英]彼得·J. 鲍勒 (Peter J. Bowler),中国科学技术出版社,2025-2,未评分,1人评价,https://book.douban.com/subject/37134597/
觉知：通向身心合一的心智成长,丹尼尔·西格尔,机械工业出版社,2025-2,未评分,0人评价,https://book.douban.com/subject/37287033/
南移：宋代社会中心的转迁,张家驹,上海人民出版社,2025-2,未评分,0人评价,https://book.douban.com/subject/37225532/
宇宙观与现代世界,(英) 艾伦·麦克法兰,中信出版社,2025-3,未评分,6人评价,https://book.douban.com/subject/37194849/
历史文本的文化间交织：中国上古历史及其欧洲书写,[比利时] 钟鸣旦（Nicolas Standaert),上海人民出版社,2025-2,未评分,4人评价,https://book.douban.com/subject/37181071/
不说告别的贼,[美]劳伦斯·布洛克,新星出版社,2025-3,7.8,35人评价,https://book.douban.com/subject/37156563/
动机与人格（原书第3版）：精译导读版,[美]亚伯拉罕·H. 马斯洛 (Abraham H. Maslow),人民邮电出版社,2025-3,未评分,12人评价,https://book.douban.com/subject/37225019/
少年,(日) 川端康成,中信出版社,2025-3-10,8.0,53人评价,https://book.douban.com/subject/37156597/
高句丽与拓跋鲜卑国家起源比较研究,杨军,商务印书馆,2025-3,未评分,1人评价,https://book.douban.com/subject/37097570/
长眠不醒,[美] 雷蒙德·钱德勒,上海译文出版社,2025-3,未评分,7人评价,https://book.douban.com/subject/37234803/
剑桥历史地理学130年,[英] 阿兰·R.H.贝克,商务印书馆,2025-2,未评分,2人评价,https://book.douban.com/subject/36940639/
库蛮民族史证,(德) 约瑟夫·马夸特,商务印书馆,2025-2,未评分,2人评价,https://book.douban.com/subject/37215551/
日本当代设计,［美］娜奥米·波洛克,湖南美术出版社,2025-4,未评分,1人评价,https://book.douban.com/subject/37074765/
重访五四新文化：文化与社会,王风,四川人民出版社,2025-3,未评分,0人评价,https://book.douban.com/subject/37100476/
胡小石中国文学批评史论,胡小石,商务印书馆,2025-2,未评分,3人评价,https://book.douban.com/subject/37036880/
文选导读,屈守元,崇文书局,2025-3,未评分,1人评价,https://book.douban.com/subject/37210936/
税的荒唐与智慧：历史上的税收故事,[美] 迈克尔·基恩,中信出版社,2025-2,未评分,6人评价,https://book.douban.com/subject/37139315/
漫漫告别,（美）亚历山大·李维,南海出版公司,2025-2,未评分,4人评价,https://book.douban.com/subject/37249876/
知堂谈吃：全新修订版,周作人,锺叔河 编选,2025-3-1,9.6,36人评价,https://book.douban.com/subject/37249597/
打开：周濂的100堂西方哲学课,周濂,民主与建设出版社,2025-2,9.3,29人评价,https://book.douban.com/subject/37193745/
管教的甜蜜岁月,[瑞士]芙洛儿·雅埃吉,花城出版社,2025-3-1,未评分,5人评价,https://book.douban.com/subject/36955622/
当代欧美史学：自1980年以来,姜芃,社会科学文献出版社,2025-2,未评分,0人评价,https://book.douban.com/subject/37218471/
我们中的陌生人：移民的政治哲学,【英】 戴维·米勒,江苏人民出版社,2025-3-1,未评分,1人评价,https://book.douban.com/subject/36492408/
北大馆藏西文珍本中的老北京图像,张红扬 邹新明 编,北京出版社,2025-3,未评分,7人评价,https://book.douban.com/subject/36473840/
儒家政治哲学大纲,干春松,北京大学出版社,2025-2,未评分,2人评价,https://book.douban.com/subject/37256128/
我与狸奴不出门,王家葵,凤凰出版社,2025-3,未评分,2人评价,https://book.douban.com/subject/37268548/
春风吹动耐寒枝：民国风云人物追寻记,张功臣,生活·读书·新知三联书店,2025-3,未评分,3人评价,https://book.douban.com/subject/37249147/
布克哈特书信选,[瑞士] 雅各布·布克哈特,华夏出版社,2025-3,未评分,4人评价,https://book.douban.com/subject/37131065/
忧郁的秩序：亚洲移民与边境管控的全球化,[美] 亚当·麦基翁,上海书店出版社,2025-2,9.0,26人评价,https://book.douban.com/subject/36878789/
巴黎评论·出版人访谈,美国《巴黎评论》编辑部(编),人民文学出版社,2025-3-15,8.3,16人评价,https://book.douban.com/subject/37212968/
玲珑塔,苏枕书,北京联合出版公司,2025-3,9.1,15人评价,https://book.douban.com/subject/37129110/
伊万·杰尼索维奇的一天,[俄罗斯] 亚历山大·索尔仁尼琴,译林出版社,2025-3-1,未评分,10人评价,https://book.douban.com/subject/37259826/
鲁迅与日本,潘世圣,生活·读书·新知三联书店,2025-4,未评分,1人评价,https://book.douban.com/subject/37036133/
再见了，木星,[日]小松左京,译林出版社,2025-3-1,未评分,3人评价,https://book.douban.com/subject/37124490/
众灵日,[荷兰] 塞斯·诺特博姆,译林出版社,2025-3,未评分,8人评价,https://book.douban.com/subject/37159343/
攀龙附凤：北宋潞州上党李氏外戚将门研究,何冠环,重庆出版社,2025-3,未评分,1人评价,https://book.douban.com/subject/37279672/
乔治·德·拉图尔,[法] 帕斯卡·基尼亚尔,南京大学出版社,2025-3,未评分,6人评价,https://book.douban.com/subject/37186592/
廉价：低薪工作如何使女性陷入贫困,[美] 阿曼达·弗里曼,中译出版社,2025-3-25,未评分,0人评价,https://book.douban.com/subject/36973920/
怪兽迷宫：罗伯特·谢克里科幻小说集 II,[美] 罗伯特·谢克里,新星出版社,2025-3,9.6,13人评价,https://book.douban.com/subject/37237566/
湖水永远不会甜,[意大利] 茱莉亚·卡米尼托,南海出版公司,2025-3,未评分,10人评价,https://book.douban.com/subject/37275077/
奥波波纳克斯,[法] 莫尼克·威蒂格,北京联合出版公司,2025-3,8.9,29人评价,https://book.douban.com/subject/37169308/
滚蛋吧！职场混蛋！：如何识别和应对“有毒”的同事,[美]泰莎·韦斯特,北京科学技术出版社,2025-2-1,7.9,29人评价,https://book.douban.com/subject/37209423/
田岛老师救了我！：为什么我们需要女性主义,[日] 田岛阳子,北京联合出版公司,2025-3,8.5,30人评价,https://book.douban.com/subject/37205544/
与哀伤共处：经历父母离世的年轻子女,李昀鋆,广东人民出版社,2025-3,8.4,108人评价,https://book.douban.com/subject/37209712/
黑童话,[美] 斯蒂芬·金,湖南文艺出版社,2025-3,8.3,79人评价,https://book.douban.com/subject/37116534/
老子化胡经校注,郜同麟 校注,中华书局,2025-2,未评分,13人评价,https://book.douban.com/subject/36778756/
元朝的兴亡：中国文明的历史[七],[日] 田村实造,民主与建设出版社,2025-2,8.4,27人评价,https://book.douban.com/subject/37076115/
看见不可见社会,于海,重庆出版社,2025-3,9.1,91人评价,https://book.douban.com/subject/37019391/
小说是什么：三岛由纪夫的创作论,[日] 三岛由纪夫,广西师范大学出版社,2025-3-20,未评分,30人评价,https://book.douban.com/subject/37212187/
地中海四千年,[英] 大卫·阿布拉菲亚,中国人民大学出版社,2025-3-1,8.7,45人评价,https://book.douban.com/subject/37055705/
幻想底尽头：穆旦传,易彬,上海文艺出版社,2025-2,9.5,16人评价,https://book.douban.com/subject/36919976/
恶意镇,[意] 萨奇亚·纳斯匹尼,花城出版社,2025-3-1,未评分,6人评价,https://book.douban.com/subject/36952729/
中国近代思想与学术的系谱：增订版,王汎森,上海三联书店,2025-3,未评分,3人评价,https://book.douban.com/subject/37238502/
第六号元素：从大气、钻石到生命，碳如何塑造了地球、社会和我们？,(美) 西奥多·P. 斯诺,中信出版社,2025-2,未评分,17人评价,https://book.douban.com/subject/37168405/
滑向战争：决定历史的交涉与日本的失败,[日] 加藤阳子,浙江人民出版社,2025-3,8.2,13人评价,https://book.douban.com/subject/37180567/
南太平洋的风：库克群岛生活笔记,胡子,人民文学出版社,2025-2,8.0,20人评价,https://book.douban.com/subject/37118765/
虫神山事件,时晨,新星出版社,2025-3,8.7,23人评价,https://book.douban.com/subject/37235058/
性别：女：随机图书馆01,随机波动,新星出版社,2025-4,未评分,17人评价,https://book.douban.com/subject/36862589/
星期五不上班,[英]威尔·斯特朗,上海文艺出版社,2025-3,8.2,48人评价,https://book.douban.com/subject/37154174/
进入全球公共视域的清帝国：欧洲文献里的中国邸报,[比] 钟鸣旦,上海人民出版社,2025-2,未评分,9人评价,https://book.douban.com/subject/37181070/
旅行人信札,陈嘉映,上海文艺出版社,2025-2,8.3,108人评价,https://book.douban.com/subject/34970100/
焦虑的一代：如何养育手机里泡大的孩子,[美]乔纳森·海特（Jonathan Haidt）,中国纺织出版社,2025-3-22,未评分,5人评价,https://book.douban.com/subject/37271557/
